Variance,Std_Dev,Label_R
0.000236,0.015362291,0.01
0.000185,0.013601471,0.01
0.000144,0.012,0.01
0.000141,0.011874342,0.01
0.000136,0.011661904,0.01
0.000109,0.010440307,0.01
0.00014,0.01183216,0.01
0.000149,0.012206556,0.01
0.00016,0.012649111,0.01
0.00016,0.012649111,0.01
0.00016,0.012649111,0.01
0.000149,0.012206556,0.01
0.000149,0.012206556,0.01
0.00014,0.01183216,0.01
9.60E-05,0.009797959,0.01
9.60E-05,0.009797959,0.01
0.000141,0.011874342,0.01
0.000124,0.011135529,0.01
0.000121,0.011,0.01
0.000144,0.012,0.01
0.000124,0.011135529,0.01
0.00022,0.014832397,0.01
0.000256,0.016,0.01
0.000241,0.015524175,0.01
0.000225,0.015,0.01
0.000184,0.01356466,0.01
0.000164,0.012806248,0.01
0.000201,0.014177447,0.01
0.000289,0.017,0.01
0.000289,0.017,0.01
0.000524,0.022891046,0.01
0.000396,0.019899749,0.01
0.000316,0.017776389,0.01
0.000304,0.017435596,0.01
0.000289,0.017,0.01
0.000289,0.017,0.01
0.000249,0.015779734,0.01
0.000401,0.020024984,0.01
0.000496,0.022271057,0.01
0.000445,0.021095023,0.01
0.000341,0.018466185,0.01
0.000341,0.018466185,0.01
0.000336,0.018330303,0.01
0.000336,0.018330303,0.01
0.000249,0.015779734,0.01
0.000289,0.017,0.01
0.000289,0.017,0.01
0.000209,0.014456832,0.01
0.000104,0.010198039,0.01
0.000116,0.01077033,0.01
8.90E-05,0.009433981,0.01
1.00E-04,0.01,0.01
0.000181,0.013453624,0.01
0.000165,0.012845233,0.01
0.000184,0.01356466,0.01
0.000136,0.011661904,0.01
0.000149,0.012206556,0.01
0.000149,0.012206556,0.01
0.000149,0.012206556,0.01
0.000224,0.01496663,0.01
0.000201,0.014177447,0.01
0.000201,0.014177447,0.01
0.000164,0.012806248,0.01
0.000184,0.01356466,0.01
0.000164,0.012806248,0.01
0.000145,0.012041595,0.01
0.000136,0.011661904,0.01
0.00014,0.01183216,0.01
0.000149,0.012206556,0.01
0.000125,0.01118034,0.01
0.000124,0.011135529,0.01
0.000176,0.013266499,0.01
0.000176,0.013266499,0.01
0.000176,0.013266499,0.01
0.000245,0.015652476,0.01
0.000245,0.015652476,0.01
0.000236,0.015362291,0.01
